JC Organization ID,Medicare CCN
439016,670049
460603,670044
458869,670043
457299,670041
448901,670034
423956,670023
440118,670019
428526,670010
470430,670005
1436,534004
56147,530032
9348,530025
2288,530019
4685,530015
9341,530014
9339,530012
9352,530011
9346,530010
9353,530008
9354,530006
3156,524018
1661,524008
1635,524002
3407,524000
413499,520202
385086,520198
327288,520193
228428,520189
7718,520177
7618,520173
7643,520156
7622,520151
7615,520148
7651,520146
7719,520139
7675,520138
7674,520136
7692,520134
7698,520117
7713,520116
5306,520113
4437,520109
7658,520107
7662,520103
7634,520102
7620,520100
7656,520098
7639,520097
7695,520096
7722,520091
7699,520090
7653,520089
7635,520088
7649,520087
7628,520084
7655,520083
7673,520078
3645,520076
7640,520075
7632,520070
7644,520066
7720,520063
7685,520062
7621,520060
7623,520059
7708,520058
7619,520057
7677,520051
7689,520048
157387,520045
319061,520045
7703,520044
3751,520042
3742,520041
7641,520038
7661,520037
7704,520035
3840,520034
4447,520033
3974,520032
7717,520030
7680,520028
7691,520027
7716,520025
7646,520021
4923,520019
7626,520017
7664,520015
7633,520013
7697,520011
7700,520010
7617,520009
7714,520008
7650,520004
7663,520003
7706,520002
1550,514009
6433,514008
3198,514001
6447,510088
6436,510085
6463,510077
6446,510072
6417,510071
6416,510070
6452,510068
6415,510062
6448,510058
6432,510055
6419,510053
6462,510050
6439,510048
2860,510047
6451,510046
4032,510039
6461,510038
6421,510031
6426,510030
6456,510029
2863,510028
6443,510024
6459,510023
6420,510022
6454,510018
6440,510015
6428,510013
2414,510012
6442,510008
6434,510007
6424,510006
6444,510001
9628,504009
280328,504008
3153,504004
1630,504003
3172,504002
9645,503301
9614,503300
408593,500150
9649,500129
9594,500124
9635,500119
9632,500118
9648,500108
9610,500088
9609,500079
9637,500077
9605,500072
9608,500065
9617,500064
9611,500058
9581,500057
9638,500054
9593,500053
9652,500050
9636,500044
9596,500041
9576,500039
9659,500036
2868,500031
9574,500030
9625,500027
9629,500026
367367,500025
9601,500024
471133,500021
4721,500019
9656,500016
9572,500015
9590,500014
9658,500012
9613,500011
9626,500008
9627,500005
9654,500002
9621,500001
1729,494025
3144,494023
1909,494022
3196,494017
3145,494010
3146,494001
6359,493301
475679,490140
417829,490136
1115,490135
3241,490134
6355,490130
5181,490127
6332,490126
5157,490123
6321,490122
6331,490120
6379,490118
6406,490117
6372,490116
6342,490115
6325,490114
124600,490112
6412,490111
6330,490110
5295,490107
1142,490106
1220,490105
6337,490101
4456,490098
2071,490097
6383,490094
4143,490092
6336,490090
6393,490089
3646,490088
4755,490084
6350,490079
6385,490069
6368,490067
6351,490063
6374,490060
6387,490059
13492,490053
6354,490052
6323,490050
6391,490048
6348,490047
6349,490045
6347,490043
6373,490042
6353,490041
6319,490040
3795,490038
6352,490037
2415,490033
6381,490032
4150,490031
281518,490024
6404,490023
6340,490022
3210,490021
3900,490020
6334,490019
4966,490018
6370,490017
6395,490013
6366,490012
6329,490009
6408,490005
6346,490002
352751,480001
5489,470024
5481,470012
5488,470005
5483,470003
5479,470001
1338,464009
1670,464001
3315,463301
179875,460052
9542,460047
5045,460044
9524,460042
130162,460030
9538,460026
9523,460023
9539,460021
9525,460017
9529,460015
370097,460014
9535,460013
9536,460011
9540,460010
9544,460009
9526,460007
9532,460006
9533,460005
9534,460004
9537,460001
127395,454093
5066,454085
3126,454084
3220,454083
3130,454081
5280,454076
1656,454069
1414,454065
1537,454064
1484,454063
1407,454060
1379,454050
3140,454018
3138,454014
1817,454012
1584,454011
1583,454009
3141,454008
1633,454006
3129,454000
9102,453304
8996,453302
8984,453301
9051,453300
404205,450890
401051,450885
416318,450883
392462,450880
383406,450869
386162,450867
386160,450865
372721,450860
361012,450855
352285,450853
346643,450851
5220,450848
9121,450847
331905,450844
337941,450840
292766,450833
281790,450832
316012,450830
244956,450828
241951,450827
155410,450822
77197,450809
56784,450804
9280,450803
50595,450801
33821,450788
389,450780
5065,450779
5009,450775
353008,450774
4989,450771
4914,450766
4898,450747
4870,450743
9122,450742
8968,450730
9010,450723
9144,450718
5234,450716
8926,450713
9273,450711
5205,450709
5191,450702
9248,450690
9164,450688
9146,450686
9111,450684
8999,450678
9119,450677
8933,450675
9106,450674
9045,450672
9136,450669
9029,450668
4837,450662
9093,450659
4831,450656
8952,450653
9197,450651
9008,450647
9104,450644
9132,450643
8948,450639
9082,450638
9019,450634
9259,450617
9092,450610
9052,450604
5110,450596
8931,450591
8960,450587
9115,450573
9208,450571
9170,450565
9069,450563
8919,450558
9193,450539
9201,450537
9172,450508
9153,450484
9073,450475
9229,450469
4698,450465
9012,450462
8990,450447
8938,450431
9003,450422
8942,450419
9159,450403
9165,450400
196707,450395
8934,450389
9219,450388
289900,450381
9007,450379
9257,450372
8963,450362
9070,450352
9232,450351
9108,450347
9206,450340
4765,450330
9018,450324
8961,450299
8976,450296
9116,450292
9085,450289
9059,450280
9226,450272
5189,450271
51096,450239
9218,450237
8917,450229
8980,450222
2848,450221
9264,450214
9216,450213
9154,450211
8967,450210
8924,450209
9258,450203
9245,450200
9184,450196
9112,450194
9076,450192
4897,450187
16548,450177
9168,450176
9117,450165
9125,450163
9149,450162
9017,450154
2061,450152
8975,450148
9255,450147
9040,450137
9044,450135
9179,450132
9214,450130
9262,450128
8936,450124
165665,450119
9033,450107
9227,450104
9251,450102
9256,450101
9183,450099
9186,450097
275040,450092
9043,450087
9250,450083
8949,450082
9274,450080
9109,450079
9053,450072
9081,450068
8930,450064
9209,450058
8939,450056
9235,450055
9241,450054
9006,450051
8985,450046
9013,450044
2147,450042
266567,450040
9048,450039
9143,450037
8947,450034
9072,450033
9157,450032
9133,450029
8959,450028
9027,450024
8993,450021
9058,450018
8997,450015
8962,450011
190900,450010
9123,450007
9030,450002
3179,444014
3122,444008
1646,444004
1571,444002
3124,444001
7849,443303
384322,440227
5198,440200
7890,440197
5174,440194
5219,440193
7909,440192
7840,440189
7860,440187
7819,440185
5028,440184
2659,440183
7867,440182
7804,440181
7921,440180
7847,440176
7855,440175
7807,440174
7851,440173
7905,440168
7888,440161
7875,440159
7815,440156
58983,440153
2399,440152
7870,440152
7866,440151
7806,440150
7923,440148
167713,440145
7913,440144
7858,440143
7810,440142
74910,440141
4502,440137
7884,440133
7898,440132
7823,440131
7914,440130
7850,440125
7852,440120
7838,440115
7886,440111
7862,440110
7903,440109
7809,440104
4621,440102
7813,440091
165957,440084
7841,440083
7891,440082
4132,440081
7820,440073
4049,440072
225577,440070
7803,440068
7882,440067
7910,440065
7907,440064
7844,440063
7864,440061
7880,440060
7821,440059
3796,440058
3699,440057
7842,440056
3942,440054
7883,440053
7904,440051
7835,440050
7874,440049
7869,440048
7912,440047
7826,440046
7892,440039
7817,440035
7895,440034
3915,440033
7902,440032
7836,440031
7881,440030
7830,440029
2164,440025
7899,440020
7828,440018
7845,440017
7920,440016
7853,440015
7805,440012
7865,440011
7917,440010
7824,440009
7859,440008
7887,440006
7832,440003
4717,440002
4245,440001
313414,430095
8463,430077
8471,430027
8470,430016
8462,430015
8459,430013
4540,430012
1841,424011
1797,424010
3121,424003
413942,420101
360250,420098
35513,420091
71400,420089
6585,420087
6590,420086
6616,420085
6625,420083
4855,420082
6607,420080
4840,420079
788,420078
6605,420071
6628,420070
6578,420067
6586,420065
6619,420062
163302,420055
6580,420054
6620,420053
6599,420051
3633,420048
6601,420043
6630,420039
4935,420038
6610,420036
6631,420030
6576,420027
6603,420023
6602,420020
3697,420019
6588,420018
6577,420016
6597,420015
6606,420010
3932,420009
6595,420005
6584,420004
6623,420002
3304,414003
5649,410012
4906,410011
5654,410008
5651,410007
5646,410006
5647,410005
5652,410004
5648,410001
1542,404004
401441,400128
82015,400124
4987,400120
5265,400114
5221,400112
34319,400110
5383,400109
5387,400106
5401,400105
5379,400103
255940,400087
4884,400079
5381,400061
4872,400048
5400,400044
5382,400032
5398,400022
5404,400021
5410,400019
413961,400018
5390,400016
5406,400015
5395,400014
427434,400013
5393,400005
5391,400004
432303,400003
5405,400001
1592,394043
3108,394038
3106,394034
3113,394033
3116,394023
3114,394008
3115,394007
252453,393307
6123,393303
6160,393302
190813,390314
373878,390304
252452,390290
6223,390270
6023,390268
2397,390267
4409,390265
6017,390263
6087,390258
6075,390256
3695,390246
6193,390237
3844,390233
6013,390231
6143,390226
6059,390225
6145,390223
6103,390222
6219,390220
6090,390219
6108,390217
6199,390211
6139,390204
4565,390203
6054,390201
6018,390197
439412,390195
3823,390194
6104,390192
4408,390183
6039,390180
6217,390179
6132,390174
6169,390164
6053,390162
6033,390160
455166,390157
6049,390156
439413,390153
6038,390151
474004,390150
6106,390147
6067,390145
6118,390142
6030,390139
6214,390138
6222,390137
4880,390133
6157,390127
6178,390123
6194,390119
6063,390117
267485,390116
6125,390115
6163,390114
6129,390111
6081,390110
6168,390107
6172,390102
6086,390100
6088,390096
5117,390091
6175,390090
6051,390086
6050,390081
6131,390080
6189,390079
6043,390076
6019,390073
2477,390072
2409,390071
6027,390070
355368,390068
6091,390066
6066,390065
6060,390063
6188,390062
312097,390061
6037,390058
6196,390057
6076,390056
6158,390050
6024,390049
6096,390048
6228,390046
6226,390045
6220,390044
6216,390043
6213,390042
6208,390041
6197,390037
6022,390036
6182,390035
6204,390032
6179,390031
6180,390030
6166,390028
6152,390027
6115,390019
6110,390016
6089,390012
6061,390009
6048,390006
6032,390004
6098,390002
6191,390001
3104,384008
464345,380102
4858,380091
9667,380090
9722,380089
9688,380082
9687,380075
9685,380071
9721,380070
9704,380061
9703,380060
9719,380056
9692,380052
9715,380051
9666,380047
9709,380040
9693,380038
9689,380037
9681,380035
464346,380033
399183,380029
9712,380027
9676,380025
9678,380021
9718,380020
5060,380013
9707,380009
81336,380007
9705,380004
9720,380001
1719,374020
1538,374016
3416,374000
493546,370229
399060,370218
374288,370216
382470,370211
243786,370202
5064,370190
8832,370173
8909,370114
8849,370113
8880,370106
8859,370097
8876,370094
201590,370093
8908,370091
8857,370056
8823,370047
8860,370043
8879,370037
8825,370030
8834,370029
8872,370028
8845,370026
8865,370025
8839,370023
8818,370022
8817,370020
8842,370019
8844,370016
8892,370015
8840,370014
8877,370013
8868,370008
8890,370006
8863,370004
8915,370002
8907,370001
1801,364038
271602,364036
3093,364029
473524,364027
208270,364023
3095,364011
7033,363306
7021,363305
2416,363304
6963,363303
6986,363300
475684,360354
481633,360352
440538,360348
435173,360274
390358,360266
7107,360262
342054,360259
312671,360257
6969,360236
6994,360234
7019,360230
7082,360218
7085,360213
2180,360212
134080,360211
7039,360210
6980,360203
7115,360195
6983,360192
7064,360189
7096,360185
7001,360180
6985,360179
7124,360175
7112,360174
76676,360172
6998,360170
6987,360163
7116,360161
7046,360156
6975,360155
6970,360154
6973,360153
7022,360152
7076,360148
7043,360145
7016,360144
7049,360143
7128,360141
7017,360137
6991,360134
7122,360129
6967,360125
5199,360123
6977,360121
7067,360118
7051,360116
7090,360114
6995,360113
7110,360112
4239,360109
6974,360107
4750,360106
7088,360098
7042,360096
7044,360095
7074,360091
7104,360089
7008,360087
7100,360086
7029,360085
6981,360084
7002,360082
7108,360081
2452,360080
7094,360078
7004,360077
7075,360076
475854,360075
3920,360074
7060,360072
7114,360071
6982,360070
7120,360069
7111,360068
7062,360066
7127,360064
3771,360059
7020,360058
4863,360056
7118,360055
7048,360054
7034,360052
7035,360051
7105,360048
7031,360042
7010,360041
7079,360040
265110,360037
7125,360036
7025,360035
6976,360029
6961,360027
6964,360020
4669,360019
6992,360016
6968,360014
7026,360012
7071,360011
7061,360009
4753,360008
7030,360006
6988,360003
6966,360002
6993,360001
229376,354004
3170,354003
303102,350070
8425,350030
8434,350019
8448,350017
8419,350015
8430,350011
8438,350009
8443,350006
8426,350003
8420,350002
3197,344014
1606,344004
3082,344003
1610,344002
6562,340184
6481,340166
2075,340160
4686,340159
6545,340158
6492,340155
6540,340151
6542,340147
6523,340145
6553,340144
6509,340143
6529,340142
6566,340141
6564,340133
6508,340132
6532,340131
4183,340130
6528,340129
2076,340127
6567,340126
6467,340123
6550,340121
6517,340120
6465,340119
6511,340116
6534,340115
6538,340114
6480,340113
6547,340111
6493,340109
6555,340107
6507,340106
6464,340099
6482,340098
3878,340097
6521,340096
6504,340091
6548,340090
6473,340088
6525,340087
6557,340085
3630,340084
6530,340075
6536,340073
6516,340072
6489,340071
4681,340070
6537,340069
6563,340068
4365,340065
6533,340064
6478,340061
6483,340053
6472,340051
4141,340050
6571,340047
6551,340044
6515,340042
6520,340041
6506,340040
6554,340039
6561,340038
6518,340037
6524,340036
6500,340032
6490,340030
6495,340028
4788,340027
4727,340024
6497,340023
4736,340021
6546,340020
6558,340018
2854,340016
6544,340015
6569,340014
6543,340013
6552,340011
6501,340010
3752,340008
6513,340004
6531,340003
6468,340002
6487,340001
3057,334058
1617,334054
1625,334053
3288,334053
1616,334052
1364,334049
3069,334048
1622,334046
1627,334045
3055,334027
1624,334015
1614,334013
1619,334012
1623,334003
3064,334002
1613,334001
5835,330399
5736,330397
5246,330396
5763,330395
5789,330394
5188,330393
2435,330386
5811,330385
2835,330372
5767,330353
5737,330350
5868,330340
5716,330332
5849,330331
5720,330316
4376,330314
5783,330307
5735,330306
5902,330304
5898,330286
5856,330285
2357,330279
3789,330277
5748,330273
5817,330270
57583,330268
5848,330267
5755,330264
2843,330263
5846,330261
5857,330259
3713,330249
5852,330246
5814,330240
5788,330239
5756,330238
5724,330236
4782,330235
2518,330234
4379,330233
74238,330232
5786,330231
4781,330226
3935,330225
5791,330224
5799,330223
5738,330221
2590,330219
4037,330218
5820,330214
3929,330213
5904,330208
5892,330205
1497,330204
3058,330202
5730,330201
5827,330199
5843,330198
5725,330196
5806,330195
5734,330194
5765,330193
5772,330191
5840,330188
5851,330185
5807,330184
5860,330182
5771,330181
3908,330177
4785,330175
5808,330169
5801,330167
2872,330164
5803,330162
4979,330160
5876,330158
5893,330157
2839,330153
4754,330151
3062,330128
5809,330127
5773,330126
2145,330125
5823,330119
2573,330115
4759,330108
2799,330107
2091,330106
5842,330104
5844,330103
3904,330102
5838,330101
5895,330096
5776,330088
5804,330086
4388,330084
5824,330080
5014,330079
4564,330078
5746,330074
5711,330073
5831,330064
4130,330062
5722,330061
2514,330059
3812,330058
2110,330057
5726,330056
5764,330055
4743,330053
4017,330049
5709,330047
5781,330045
5713,330043
5719,330037
207762,330030
223750,330028
2245,330027
5829,330024
5855,330023
5733,330019
5785,330014
5705,330013
5718,330011
2112,330009
4218,330008
5905,330006
5792,330004
1404,324010
370105,320085
9437,320065
9429,320063
1169,320051
9455,320046
9445,320038
9436,320037
9442,320033
9430,320022
2775,320021
9440,320018
9451,320016
440559,320009
9446,320006
9441,320003
9448,320002
9425,320001
130579,314025
5068,314022
1330,314021
3240,314020
3053,314019
604,314016
3247,314013
3048,314012
3052,314001
5963,310119
5935,310115
5952,310113
5939,310112
5931,310111
2224,310110
5923,310108
5968,310096
208281,310092
5989,310091
113362,310086
5948,310084
5922,310083
6007,310081
5964,310076
5951,310075
5960,310073
5970,310070
5908,310064
5950,310061
5981,310060
3050,310058
478602,310057
5956,310054
5983,310052
5994,310051
80401,310050
5992,310048
5991,310047
5928,310045
5997,310041
5980,310039
5969,310038
5986,310034
5914,310031
5916,310029
5971,310028
5926,310027
5910,310025
5985,310024
303295,310022
6001,310021
5984,310017
5941,310016
5958,310015
5915,310014
5987,310012
5918,310011
3981,310010
5961,310009
5996,310008
5976,310006
5929,310005
5942,310003
5965,310002
5934,310001
3169,304001
5467,300034
5475,300029
395201,300024
5470,300020
5464,300019
5457,300018
5458,300017
5469,300012
5471,300011
5463,300003
2046,294004
3047,294000
479836,290053
406153,290051
418273,290049
388805,290047
395162,290046
479835,290045
161810,290041
224250,290039
5218,290032
9562,290022
9561,290021
9550,290019
9555,290012
9564,290009
9551,290008
9559,290007
9553,290006
9558,290003
9565,290001
1640,284003
8514,283301
399252,280130
158650,280125
8483,280118
8491,280111
8516,280105
4371,280081
4369,280077
8512,280065
8529,280061
3978,280060
4368,280054
8519,280040
8495,280032
8515,280030
4737,280023
8506,280021
8502,280020
186313,280013
8497,280009
244330,280003
1964,274004
9307,270084
9286,270057
9285,270049
9304,270023
9288,270017
9306,270014
9284,270004
9299,270003
2197,270002
3045,264025
8405,264024
1515,264020
1341,264017
3043,264008
1790,264007
1815,264005
8347,263302
8394,263301
467815,260219
426652,260216
410981,260214
344005,260210
427423,260200
8320,260195
5195,260193
8398,260191
5170,260190
8416,260186
8321,260183
8333,260180
2861,260179
8326,260175
8316,260163
5153,260162
8330,260141
8351,260138
8407,260134
8413,260127
325182,260119
8402,260113
8323,260110
8389,260108
8385,260105
4760,260104
8409,260097
8370,260096
8339,260095
8318,260094
8396,260091
8350,260085
8358,260081
37953,260078
8393,260077
8414,260074
8327,260068
4234,260065
2136,260064
8403,260062
8369,260061
8359,260059
8410,260052
8364,260050
3592,260048
8341,260047
8325,260044
